"number", "method" , Intel , Intel , Intel
,  , i3 , i7 , i7
"number", "method" , 2375M , 3630QM , 4900MQ
1, "u8_popcnt_reference", 1.575, 0.652, 0.557
2, "u8_popcnt_wegner", 1.214, 0.548, 0.457
3, "u32_popcnt_wegner", 0.59, 0.278, 0.202
4, "u8_popcnt_shift_v1", 0.06, 0.03, 0.016
5, "u32_popcnt_shift_v1", 0.026, 0.046, 0.001
6, "u8_popcnt_shift_v2", 0.06, 0.03, 0.016
7, "u32_popcnt_shift_v2", 0.022, 0.036, 0
8, "u32_popcnt_table_v1", 0.122, 0.04, 0.04
9, "u32_popcnt_table_v2", 0.058, 0.024, 0.015
10, "u8_asm_popcnt", 0.09, 0.041, 0.022
11, "u32_asm_popcnt", 0.026, 0.013, 0.004
12, "u32_asm_popcnt_ur2", 0.02, 0.009, 0
13, "u32_asm_popcnt_ur4", 0.02, 0.01, 0
14, "u32_sse_popcnt_v1", 0.02, 0.01, 0.003
15, "u32_sse_popcnt_v2", 0.025, 0.011, 0.004
16, "u32_avx2_popcnt_v1","N/A","N/A", 0.006
17, "u8_popcnt_intrinsics", 0.016, 0.01, 0.001
